Isolate,IS110,IS1182,IS1595,IS21,IS256,IS3,IS4,IS5,IS630,IS701,ISL3
YO215,1,0,0,1,1,12,0,72,0,0,0
YO073,1,0,0,1,1,12,0,74,0,0,0
YO336,1,0,0,1,1,14,0,66,0,0,0
YO214,1,0,0,1,1,11,0,78,0,0,0
YO300,1,0,0,1,1,13,0,77,0,0,0
YO243,1,0,0,1,1,11,0,80,0,0,0
YO305,1,0,0,1,1,12,0,72,0,0,0
YO345,1,0,0,1,1,11,0,76,0,0,0
YO121,1,0,0,1,1,12,0,71,0,0,0
YO337,1,0,0,1,1,13,0,68,0,0,0
YO120,1,0,0,1,1,13,0,74,0,0,0
YO322,1,0,0,1,1,12,0,69,0,0,0
YO294,1,0,0,1,1,12,0,72,0,0,0
YO315,1,0,0,1,1,12,0,72,0,0,0
YO298,1,0,0,1,1,13,0,76,0,0,0
YO252,1,0,0,1,1,11,0,75,0,0,0
YO311,1,0,0,1,1,12,0,72,0,0,0
YO060,1,0,0,1,1,12,0,71,0,0,0
YO310,1,0,0,1,1,12,0,71,0,0,0
YO327,1,0,0,1,1,12,0,76,0,0,0
YO299,1,0,0,1,1,12,0,72,0,0,0
YO282,1,0,0,1,1,12,0,72,0,0,0
YO319,1,0,0,1,1,12,0,71,0,0,0
YO290,1,0,0,1,1,12,0,74,0,0,0
YO071,1,0,0,1,1,11,0,78,0,0,0
YO313,1,0,0,1,1,12,0,77,0,0,0
YO198,1,0,0,1,1,12,0,76,0,0,0
YO291,1,0,0,1,1,13,0,73,0,0,0
YO355,1,0,0,1,1,12,0,70,0,0,0
YO063,1,0,0,1,1,12,0,74,0,0,0
YO022,1,0,0,1,0,7,0,39,0,0,0
YO031,1,0,0,1,0,7,0,41,0,0,0
YO204,1,0,0,1,1,12,0,72,0,0,0
YO380,2,0,0,0,1,11,0,72,0,0,0
YO292,1,0,0,1,1,12,0,74,0,0,0
YO296,1,0,0,1,1,12,0,71,0,0,0
YO325,2,0,0,1,1,12,0,71,0,0,0
YO295,1,0,0,1,1,12,0,73,0,0,0
YO314,1,0,0,1,1,12,0,64,0,0,0
YO231,1,0,0,1,1,11,0,76,0,0,0
YO127,1,0,0,1,1,12,0,74,0,0,0
YO348,1,0,0,1,1,11,0,73,0,0,0
YO249,1,0,0,1,1,12,0,78,0,0,0
YO338,1,0,0,1,1,12,0,70,0,0,0
YO288,1,0,0,1,1,13,0,72,0,0,0
YO280,1,0,0,1,1,12,0,73,0,0,0
YO276,1,0,0,1,1,12,0,73,0,0,0
YO275,1,0,0,1,1,12,0,72,0,0,0
YO326,1,0,0,1,1,12,0,72,0,0,0
YO274,1,0,0,1,1,12,0,73,0,0,0
YO278,1,0,0,1,1,12,0,74,0,0,0
YO289,1,0,0,1,1,12,0,74,0,0,0
YO297,1,0,0,1,1,12,0,73,0,0,0
YO320,1,0,0,1,1,12,0,70,0,0,0
YO244,1,0,0,1,1,11,0,77,0,0,0
YO257,1,0,0,1,1,11,0,80,0,0,0
YO201,1,0,0,1,1,11,0,78,0,0,0
YO234,1,0,0,1,1,11,0,74,0,0,0
YO209,1,0,0,1,1,12,0,78,0,0,0
YO216,1,0,0,1,1,11,0,77,0,0,0
YO309,1,0,0,1,1,12,0,73,0,0,0
YO368,1,0,0,1,1,12,0,75,0,0,0
YO242,1,0,0,1,1,11,0,77,0,0,0
YO211,1,0,0,1,1,11,0,75,0,0,0
YO207,1,0,0,1,1,11,0,78,0,0,0
YO200,1,0,0,1,1,11,0,78,0,0,0
YO197,1,0,0,1,1,11,0,75,0,0,0
YO239,1,0,0,1,1,12,0,78,0,0,0
YO065,1,0,0,1,1,12,0,72,0,0,0
YO046,1,0,0,1,1,12,0,68,0,0,0
