Isolate,Phylotype,ISBma3,ISBma2,ISRsy1,ISRme4,ISRso7,IS401,ISAisp2,ISButh1,ISRso10,ISRso11,ISRso12,ISRso14,ISRso16,ISRso20,ISRso13,IS1021,IS1405,IS1420,IS1421,ISRso1,ISRso18,ISRso9,Unknown_IS5,ISVei4,ISRso17,ISRso15
YO240,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,1,0,0,0,0,0
YO202,IIB,1,0,0,1,1,0,0,0,5,0,0,0,0,5,0,73,1,0,1,1,1,0,0,0,0,0
YO222,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,0,0,0,0,0,0,0,0,0,0
YO091,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,1,1,1,0,0,0,0,0
YO174,IIB,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,72,1,0,0,1,1,0,0,0,0,0
YO095,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,1,1,1,0,0,0,0,0
YO175,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO093,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,68,1,0,1,1,0,0,0,0,0,0
YO176,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,0,0,0,1,1,0,0,0,0,0
YO148,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,0,0,0,1,1,0,0,0,0,0
YO008,IIB,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,69,1,0,1,1,1,0,0,0,0,0
YO010,IIB,1,0,0,1,1,0,0,0,6,0,0,0,0,5,0,74,1,0,0,1,1,0,0,0,0,0
YO147,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,68,0,0,1,1,1,0,0,0,0,0
YO123,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,66,1,0,1,1,1,0,0,0,0,0
YO112,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,68,1,0,1,1,0,0,0,0,0,0
YO072,IIB,2,0,0,1,1,0,0,0,6,0,0,0,1,5,0,74,1,0,0,1,1,0,0,0,0,0
YO162,IIB,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,71,1,0,0,1,1,0,0,0,0,0
