Isolate,ISBma3,ISBma2,ISRsy1,ISRme4,ISRso7,IS401,ISAisp2,ISButh1,ISRso10,ISRso11,ISRso12,ISRso14,ISRso16,ISRso20,ISRso13,IS1021,IS1405,IS1420,IS1421,ISRso1,ISRso18,ISRso9,Unknown_IS5,ISVei4,ISRso17,ISRso15
YO120,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,72,0,0,0,1,1,0,0,0,0,0
YO337,1,0,0,1,1,0,0,0,6,0,0,0,1,6,0,64,1,0,1,1,1,0,0,0,0,0
YO121,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,67,1,0,1,1,1,0,0,0,0,0
YO345,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,72,1,0,1,1,1,0,0,0,0,0
YO305,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,0,0,0,1,0,0,0,0,0,0
YO243,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,76,1,0,1,1,1,0,0,0,0,0
YO300,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,73,1,0,1,1,1,0,0,0,0,0
YO214,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,74,1,0,1,1,1,0,0,0,0,0
YO336,1,0,0,1,1,0,0,0,7,0,0,0,1,6,0,61,1,0,2,1,1,0,0,0,0,0
YO073,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,73,0,0,0,0,1,0,0,0,0,0
YO215,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,0,1,0,0,0,0,0,0
YO233,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO235,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,72,0,0,0,1,0,0,0,0,0,0
YO196,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,73,1,0,1,1,1,0,0,0,0,0
YO206,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,75,1,0,0,0,0,0,0,0,0,0
YO219,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,75,1,0,0,1,1,0,0,0,0,0
YO125,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,73,1,0,1,1,1,0,0,0,0,0
YO126,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,0,0,1,1,1,0,0,0,0,0
YO048,1,0,0,0,1,0,0,0,6,0,0,0,1,5,0,64,0,0,1,1,1,0,0,0,0,0
YO115,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,0,0,1,1,1,0,0,0,0,0
YO116,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO114,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,75,1,0,0,0,0,0,0,0,0,0
YO087,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,69,0,0,0,1,1,0,0,0,0,0
YO362,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,1,0,0,0,0,0
YO044,1,0,0,1,1,0,0,0,8,0,0,0,1,5,0,63,0,0,1,1,1,0,0,0,0,0
YO045,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,0,1,0,0,0,0,0,0
YO225,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,0,1,0,0,0,0,0,0
YO208,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,73,1,0,0,0,0,0,0,0,0,0
YO339,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,67,0,0,1,1,1,0,0,0,0,0
YO238,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,75,1,0,0,1,1,0,0,0,0,0
YO205,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,1,1,1,0,0,0,0,0
YO180,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,73,1,0,0,1,0,0,0,0,0,0
YO353,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,63,0,0,1,1,1,0,0,0,0,0
YO012,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,68,1,0,1,1,1,0,0,0,0,0
YO271,1,0,0,1,1,0,0,0,5,0,0,0,1,4,0,70,1,0,0,1,1,0,0,0,0,0
YO265,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,1,0,0,0,0,0,0
YO350,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,65,1,0,0,0,0,0,0,0,0,0
YO351,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,1,1,1,0,0,0,0,0
YO284,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,75,1,0,0,0,0,0,0,0,0,0
YO268,1,0,0,1,1,0,0,0,6,0,0,0,1,4,0,65,1,0,0,0,0,0,0,0,0,0
YO064,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,0,1,0,0,0,0,0
YO224,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,1,1,0,0,0,0,0,0
YO248,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,1,0,0,0,0,0
YO264,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,0,1,0,0,0,0,0,0
YO269,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,1,1,1,0,0,0,0,0
YO227,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO307,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,74,1,0,0,0,0,0,0,0,0,0
YO266,1,0,0,1,1,0,0,1,6,0,0,0,1,5,0,68,1,0,1,1,1,0,0,0,0,0
YO308,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,1,0,0,0,0,0
YO281,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,0,0,0,1,0,0,0,0,0,0
