Isolate,Region,ISBma3,ISBma2,ISRsy1,ISRme4,ISRso7,IS401,ISAisp2,ISButh1,ISRso10,ISRso11,ISRso12,ISRso14,ISRso16,ISRso20,ISRso13,IS1021,IS1405,IS1420,IS1421,ISRso1,ISRso18,ISRso9,Unknown_IS5,ISVei4,ISRso17,ISRso15
YO334,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO273,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO277,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO344,Chr,1,0,0,0,0,0,0,0,5,0,0,0,1,2,0,36,0,0,0,0,0,0,0,0,0,0
YO117,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO330,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,30,0,0,0,0,0,0,0,0,0,0
YO011,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,28,0,0,0,0,0,0,0,0,0,0
YO212,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,35,0,0,0,0,0,0,0,0,0,0
YO068,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO333,Chr,1,0,0,0,0,0,0,0,7,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO303,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO371,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,31,0,0,0,0,0,0,0,0,0,0
YO254,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO054,Chr,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
YO255,Chr,1,0,0,0,0,0,0,0,7,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO256,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO094,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO170,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO357,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO363,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO364,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO366,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO144,Chr,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0
YO092,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO283,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO240,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO202,Chr,1,0,0,0,0,0,0,0,5,0,0,0,0,2,0,35,0,0,0,0,0,0,0,0,0,0
YO222,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO091,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO174,Chr,1,0,0,0,0,0,0,0,7,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO095,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO175,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO093,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO176,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO148,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO008,Chr,1,0,0,0,0,0,0,0,7,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO010,Chr,1,0,0,0,0,0,0,0,6,0,0,0,0,2,0,32,0,0,0,0,0,0,0,0,0,0
YO147,Chr,1,0,0,0,0,0,0,0,5,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO123,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,30,0,0,0,0,0,0,0,0,0,0
YO112,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,31,0,0,0,0,0,0,0,0,0,0
YO072,Chr,2,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO162,Chr,1,0,0,0,0,0,0,0,7,0,0,0,1,2,0,35,0,0,0,0,0,0,0,0,0,0
YO285,Chr,1,0,0,0,0,0,0,0,7,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO286,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,31,0,0,0,0,0,0,0,0,0,0
YO047,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO281,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO308,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO266,Chr,1,0,0,0,0,0,0,1,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO307,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO227,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO269,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO264,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO248,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO224,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO064,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO268,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO284,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
